general_rank,time,given_name,last_name,nationality,gender,race_name,race_category
1,16:20:20,Remigio,HUAMAN QUISPE,Peru,Men,Wixárika,100M
2,17:20:21,Samuel,COLLINS,United States of America,Men,Wixárika,100M
3,18:57:46,Steven,DOLL,United States of America,Men,Wixárika,100M
4,20:53:30,Edson Scorpion,CHAVEZ,Mexico,Men,Wixárika,100M
5,21:38:51,Alyssa,CLARK,United States of America,Women,Wixárika,100M
6,21:51:55,Marc-Antoine,FORAND,Canada,Men,Wixárika,100M
7,22:35:31,Hector,FUENTES RIVERA,El Salvador,Men,Wixárika,100M
8,22:40:00,Esteban Alejandro,MARIN TORRES,Chile,Men,Wixárika,100M
9,22:50:33,Julius,VAINAUSKAS,Lithuania,Men,Wixárika,100M
10,23:29:41,Kelsey,HOGAN,Canada,Women,Wixárika,100M
